Txn Date,Value Date,Debit,Credit,UTR Number,Chq/Ref No,Description,_ground_truth_economic_id,Batch Ref
02/09/2026,02/09/2026,3402.43,,UTR100001,,NEFT-ACME TRADERS,CA-EXACT-0001,
09/09/2026,09/09/2026,3937.86,,UTR100002,,NEFT-BLUE OCEAN EXPORTS,CA-EXACT-0002,
05/09/2026,05/09/2026,1220.26,,UTR100003,,NEFT-SUNRISE LOGISTICS,CA-EXACT-0003,
20/09/2026,20/09/2026,3597.85,,UTR100004,,NEFT-ACME TRADERS,CA-EXACT-0004,
02/09/2026,02/09/2026,2262.08,,UTR100005,,NEFT-ACME TRADERS,CA-EXACT-0005,
09/09/2026,09/09/2026,541.23,,UTR100006,,NEFT-SUNRISE LOGISTICS,CA-EXACT-0006,
19/09/2026,19/09/2026,2699.51,,UTR100007,,NEFT-ACME TRADERS,CA-EXACT-0007,
09/09/2026,09/09/2026,1092.48,,UTR100008,,NEFT-NORTHSTAR AGRO,CA-EXACT-0008,
02/09/2026,02/09/2026,2405.14,,UTR100009,,NEFT-BLUE OCEAN EXPORTS,CA-EXACT-0009,
15/09/2026,15/09/2026,4028.33,,UTR100010,,NEFT-SUNRISE LOGISTICS,CA-EXACT-0010,
06/09/2026,06/09/2026,1833.89,,UTR100011,,NEFT-BLUE OCEAN EXPORTS,CA-EXACT-0011,
05/09/2026,05/09/2026,1178.86,,UTR100012,,NEFT-BLUE OCEAN EXPORTS,CA-EXACT-0012,
05/09/2026,06/09/2026,343.12,,,CHQ300001,CHQ CLEARED APEX ENGINEERING,CA-NORMREF-0001,
21/09/2026,22/09/2026,1041.04,,,CHQ300002,CHQ CLEARED APEX ENGINEERING,CA-NORMREF-0002,
16/09/2026,18/09/2026,1586.85,,,,NEFT-RIVERSIDE PACKAGING,CA-TIMING-0001,
06/09/2026,06/09/2026,1706.18,,,,NEFT ACME TRADERS PVT LTD,CA-CPTYVAR-0001,
11/09/2026,11/09/2026,1492.30,,,,NEFT-HARBOUR LOGISTICS-PART1,CA-SPLIT-0001,BATCHA700001
11/09/2026,11/09/2026,1492.31,,,,NEFT-HARBOUR LOGISTICS-PART2,CA-SPLIT-0001,BATCHA700001
03/09/2026,03/09/2026,,352.03,,,NEFT-UNKNOWN INBOUND REMITTANCE,CA-MISSINT-0001,
