Txn Date,Value Date,Debit,Credit,UTR Number,Chq/Ref No,Description,_ground_truth_economic_id,Batch Ref
04/09/2026,04/09/2026,3402.43,,UTR100001,,NEFT-ACME TRADERS,CA-EXACT-0001,
11/09/2026,11/09/2026,3937.86,,UTR100002,,NEFT-BLUE OCEAN EXPORTS,CA-EXACT-0002,
07/09/2026,07/09/2026,1220.26,,UTR100003,,NEFT-SUNRISE LOGISTICS,CA-EXACT-0003,
22/09/2026,22/09/2026,3597.85,,UTR100004,,NEFT-ACME TRADERS,CA-EXACT-0004,
04/09/2026,04/09/2026,2262.08,,UTR100005,,NEFT-ACME TRADERS,CA-EXACT-0005,
11/09/2026,11/09/2026,541.23,,UTR100006,,NEFT-SUNRISE LOGISTICS,CA-EXACT-0006,
21/09/2026,21/09/2026,2699.51,,UTR100007,,NEFT-ACME TRADERS,CA-EXACT-0007,
11/09/2026,11/09/2026,1092.48,,UTR100008,,NEFT-NORTHSTAR AGRO,CA-EXACT-0008,
04/09/2026,04/09/2026,2405.14,,UTR100009,,NEFT-BLUE OCEAN EXPORTS,CA-EXACT-0009,
17/09/2026,17/09/2026,4028.33,,UTR100010,,NEFT-SUNRISE LOGISTICS,CA-EXACT-0010,
08/09/2026,09/09/2026,991.94,,,CHQ300001,CHQ CLEARED APEX ENGINEERING,CA-NORMREF-0001,
07/09/2026,09/09/2026,1328.86,,,,NEFT-METRO FREIGHT,CA-TIMING-0001,
17/09/2026,17/09/2026,543.62,,,,NEFT ACME TRADERS PVT LTD,CA-CPTYVAR-0001,
15/09/2026,15/09/2026,753.54,,,,NEFT-VERTEX MANUFACTURING-PART1,CA-SPLIT-0001,BATCHA700001
15/09/2026,15/09/2026,753.53,,,,NEFT-VERTEX MANUFACTURING-PART2,CA-SPLIT-0001,BATCHA700001
