InternalRef,OrderId,PostedOn,Amount,DrCr,CustomerName,Notes,SettlementBatchRef,_ground_truth_economic_id
EMI000001,COLL500001,2026-09-01,17479.85,CR,N REDDY AGENCIES,"EMI collection presented via NACH, instruction COLL500001",,SHYD-NACH-OK-0001
EMI000002,COLL500002,2026-09-01,16951.16,CR,R KUMAR TRADERS,"EMI collection presented via NACH, instruction COLL500002",,SHYD-NACH-OK-0002
EMI000003,COLL500003,2026-09-02,16222.25,CR,N REDDY AGENCIES,"EMI collection presented via NACH, instruction COLL500003",,SHYD-NACH-OK-0003
EMI000004,COLL500004,2026-09-02,16661.91,CR,R KUMAR TRADERS,"EMI collection presented via NACH, instruction COLL500004",,SHYD-NACH-OK-0004
EMI000005,COLL500005,2026-09-01,5271,CR,S PATEL ENTERPRISES,"EMI collection presented via NACH, instruction COLL500005",,SHYD-NACH-OK-0005
EMI000006,COLL500006,2026-09-03,3423.98,CR,S PATEL ENTERPRISES,"EMI collection presented via NACH, instruction COLL500006",,SHYD-NACH-OK-0006
EMI000007,COLL500007,2026-09-02,15233.71,CR,V IYER PROVISION STORES,"EMI collection presented via NACH, instruction COLL500007",,SHYD-NACH-OK-0007
EMI000008,COLL500008,2026-09-01,11086.64,CR,M DESHMUKH KIRANA,"EMI collection presented via NACH, instruction COLL500008",,SHYD-NACH-OK-0008
EMI000009,COLL500009,2026-09-01,7251.62,CR,M DESHMUKH KIRANA,"EMI collection presented via NACH, instruction COLL500009",,SHYD-NACH-OK-0009
EMI000010,COLL500010,2026-09-03,4305.04,CR,A SHARMA & SONS,"EMI collection presented via NACH, instruction COLL500010",,SHYD-NACH-OK-0010
EMI000501,COLL540001,2026-09-02,13693.45,CR,N REDDY AGENCIES,"EMI collection presented via NACH, instruction COLL540001",,SHYD-NACH-RETURN-0001
EMI000801,COLL580001,2026-09-03,15507.99,CR,S PATEL ENTERPRISES,Full EMI booked against instruction COLL580001,,SHYD-NACH-BREAK-0001
EMI001201,COLL610001,2026-09-03,2434.39,CR,N REDDY AGENCIES,"EMI collection presented via NACH, instruction COLL610001",,SHYD-NACH-MISSEXT-0001
