UMRN,Transaction Ref No,Presentation Date,Settlement Date,Amount,Debit Account Holder,Status,Return Reason,_ground_truth_economic_id
ICIC00045676000000001,COLL500001,01/09/2026,02/09/2026,17479.85,N REDDY AGENCIES,SUCCESS,,SHYD-NACH-OK-0001
HDFC00001236000000002,COLL500002,01/09/2026,02/09/2026,16951.16,R KUMAR TRADERS,SUCCESS,,SHYD-NACH-OK-0002
SBIN00112236000000003,COLL500003,02/09/2026,03/09/2026,16222.25,N REDDY AGENCIES,SUCCESS,,SHYD-NACH-OK-0003
HDFC00001236000000004,COLL500004,02/09/2026,03/09/2026,16661.91,R KUMAR TRADERS,SUCCESS,,SHYD-NACH-OK-0004
HDFC00001236000000005,COLL500005,01/09/2026,02/09/2026,5271,S PATEL ENTERPRISES,SUCCESS,,SHYD-NACH-OK-0005
ICIC00045676000000006,COLL500006,03/09/2026,04/09/2026,3423.98,S PATEL ENTERPRISES,SUCCESS,,SHYD-NACH-OK-0006
ICIC00045676000000007,COLL500007,02/09/2026,03/09/2026,15233.71,V IYER PROVISION STORES,SUCCESS,,SHYD-NACH-OK-0007
UTIB00004566000000008,COLL500008,01/09/2026,02/09/2026,11086.64,M DESHMUKH KIRANA,SUCCESS,,SHYD-NACH-OK-0008
ICIC00045676000000009,COLL500009,01/09/2026,02/09/2026,7251.62,M DESHMUKH KIRANA,SUCCESS,,SHYD-NACH-OK-0009
ICIC00045676000000010,COLL500010,03/09/2026,04/09/2026,4305.04,A SHARMA & SONS,SUCCESS,,SHYD-NACH-OK-0010
SBIN00112236000000901,COLL540001,02/09/2026,03/09/2026,13693.45,N REDDY AGENCIES,RETURNED,Mandate not registered,SHYD-NACH-RETURN-0001
UTIB00004566000001801,COLL580001,03/09/2026,04/09/2026,7754.00,S PATEL ENTERPRISES,PARTIAL,Part payment realised,SHYD-NACH-BREAK-0001
SBIN00112236000002601,COLL599001,02/09/2026,03/09/2026,7542.44,S PATEL ENTERPRISES,SUCCESS,,SHYD-NACH-MISSINT-0001
