Settlement No,Trade ID,Trade Date,Settlement Date,Net Obligation,Clearing Member,Remarks,Obligation Batch Ref,_ground_truth_economic_id
NSE/CM/20260902/0001,TRD700001,01-Sep-2026,02-Sep-2026,15579.19,KOTAK SECURITIES CLEARING,"Net funds obligation, cash segment",,MRDN-OBL-EXACT-0001
NSE/CM/20260902/0002,TRD700002,01-Sep-2026,02-Sep-2026,8492.17,ICICI SEC PRIMARY DEALERSHIP,"Net funds obligation, cash segment",,MRDN-OBL-EXACT-0002
NSE/CM/20260904/0003,TRD700003,03-Sep-2026,04-Sep-2026,5638.31,ICICI SEC PRIMARY DEALERSHIP,"Net funds obligation, cash segment",,MRDN-OBL-EXACT-0003
NSE/CM/20260904/0004,TRD700004,03-Sep-2026,04-Sep-2026,26933.61,ICICI SEC PRIMARY DEALERSHIP,"Net funds obligation, cash segment",,MRDN-OBL-EXACT-0004
NSE/CM/20260901/0005,TRD700005,31-Aug-2026,01-Sep-2026,36080.32,AXIS CAPITAL CLEARING,"Net funds obligation, cash segment",,MRDN-OBL-EXACT-0005
NSE/CM/20260902/0006,TRD700006,01-Sep-2026,02-Sep-2026,33904.89,ICICI SEC PRIMARY DEALERSHIP,"Net funds obligation, cash segment",,MRDN-OBL-EXACT-0006
NSE/CM/20260904/0007,TRD700007,03-Sep-2026,04-Sep-2026,29121.04,ICICI SEC PRIMARY DEALERSHIP,"Net funds obligation, cash segment",,MRDN-OBL-EXACT-0007
NSE/CM/20260901/0008,TRD700008,31-Aug-2026,01-Sep-2026,16582.53,KOTAK SECURITIES CLEARING,"Net funds obligation, cash segment",,MRDN-OBL-EXACT-0008
NSE/CM/20260904/9001,,03-Sep-2026,04-Sep-2026,42159.70,ICICI SEC PRIMARY DEALERSHIP,"Net payout after brokerage, GST, STT, stamp duty and exchange charges",,MRDN-OBL-CHARGES-0001
NSE/CM/20260903/9002,,02-Sep-2026,03-Sep-2026,28452.03,HDFC SECURITIES CLEARING,"Net payout after brokerage, GST, STT, stamp duty and exchange charges",,MRDN-OBL-CHARGES-0002
NSE/CM/20260904/9003,,03-Sep-2026,04-Sep-2026,19066.76,KOTAK SECURITIES CLEARING,"Net payout after brokerage, GST, STT, stamp duty and exchange charges",,MRDN-OBL-CHARGES-0003
NSE/CM/20260902/8001,TRD760001,02-Sep-2026,03-Sep-2026,55668.93,ICICI SEC PRIMARY DEALERSHIP,"Net funds obligation, cash segment",,MRDN-OBL-MISSINT-0001
NSE/CM/20260903/7001,TRD780001,02-Sep-2026,03-Sep-2026,11423.61,ICICI SEC PRIMARY DEALERSHIP,"Net funds obligation, cash segment -- adjustment applied",,MRDN-OBL-VARIANCE-0001
